Size Trand Treverse Tnear
500 40 28 17
600 42 37 22
700 56 44 33
800 71 49 37
900 73 58 42
1000 82 57 40
1100 89 64 43
1200 97 81 47
1300 99 78 50
1400 117 109 78
1500 131 91 72
1600 136 101 71
1700 150 111 78
1800 158 110 87
1900 163 121 89
2000 174 116 89
2100 186 127 94
2200 186 141 117
2300 204 143 99
2400 206 156 107
2500 217 165 115
2600 239 184 119
2700 245 186 137
2800 281 254 161
2900 293 180 154
3000 284 211 171
3100 300 199 163
3200 302 205 173
3300 366 214 171
3400 320 205 171
3500 333 229 182
3600 350 255 198
3700 390 266 193
3800 372 241 189
3900 369 249 200
4000 390 277 207
4100 430 275 193
4200 396 276 211
4300 424 294 207
4400 423 383 277
4500 472 334 254
4600 458 339 231
4700 475 338 231
4800 483 337 244
4900 481 357 239
5000 495 381 232
5100 486 361 248
5200 504 358 255
5300 542 388 251
5400 526 383 266
5500 538 372 318
5600 592 353 313
5700 585 385 329
5800 625 405 339
5900 623 420 339
6000 670 450 345
6100 633 456 353
6200 656 443 366
6300 689 469 378
6400 761 461 361
6500 693 451 365
6600 722 435 374
6700 694 451 388
6800 732 497 389
6900 711 485 399
7000 762 487 402
7100 725 492 400
7200 775 511 421
7300 790 523 441
7400 786 530 415
7500 825 593 407
7600 786 522 423
7700 817 522 431
7800 809 542 426
7900 832 541 424
8000 822 527 538
8100 855 576 451
8200 855 607 442
8300 849 594 436
8400 888 600 458
8500 901 589 453
8600 885 598 505
8700 930 622 460
8800 955 652 473
8900 911 624 501
9000 933 660 511
9100 1049 668 486
9200 938 718 503
9300 958 666 491
9400 1054 667 477
9500 963 761 512
9600 1010 692 539
9700 1013 683 511
9800 1066 712 507
9900 1078 865 541
10000 1009 721 582
