Size Trand Treverse Tnear
500 99 82 83
600 128 96 129
700 160 122 114
800 156 126 128
900 181 140 147
1000 196 169 171
1100 231 174 241
1200 239 193 229
1300 252 200 224
1400 322 220 219
1500 289 248 245
1600 333 253 268
1700 336 265 309
1800 414 323 302
1900 404 284 300
2000 403 327 403
2100 442 334 402
2200 470 349 506
2300 497 383 540
2400 504 386 491
2500 513 428 441
2600 524 395 406
2700 529 422 465
2800 570 431 469
2900 629 509 545
3000 608 528 479
3100 617 550 511
3200 655 477 521
3300 663 590 575
3400 729 548 605
3500 801 578 625
3600 771 603 690
3700 830 607 655
3800 834 640 683
3900 862 622 664
4000 877 717 675
4100 829 656 686
4200 885 667 815
4300 945 674 936
4400 958 745 1101
4500 977 744 1104
4600 980 737 1154
4700 1001 764 1078
4800 1066 759 966
4900 1072 758 909
5000 1073 799 869
5100 1055 1043 846
5200 1075 878 877
5300 1186 923 898
5400 1133 922 962
5500 1161 947 941
5600 1184 908 945
5700 1228 974 1016
5800 1316 1055 994
5900 1282 1076 1013
6000 1302 1118 1035
6100 1315 1062 1017
6200 1368 1073 1067
6300 1404 1037 1082
6400 1371 990 1128
6500 1395 1131 1138
6600 1402 1086 1124
6700 1472 1083 1096
6800 1492 1098 1125
6900 1545 1129 1195
7000 1504 1115 1232
7100 1528 1165 1208
7200 1564 1160 1235
7300 1621 1177 1291
7400 1572 1261 1291
7500 1735 1201 1274
7600 1682 1240 1336
7700 1711 1272 1376
7800 1706 1262 1328
7900 1742 1372 1361
8000 1744 1265 1377
8100 1751 1288 1403
8200 1786 1390 1356
8300 1845 1330 1627
8400 1823 1398 1693
8500 1875 1369 1918
8600 1884 1402 1928
8700 1911 1493 2023
8800 1884 1501 2014
8900 2008 1461 2188
9000 1977 1486 2246
9100 2001 1477 2262
9200 2031 1490 2274
9300 2056 1513 2232
9400 2053 1569 2087
9500 2097 1544 2037
9600 2117 1565 2044
9700 2145 1556 2012
9800 2266 1687 1992
9900 2134 1629 1857
10000 2214 1695 1727
